PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40184625,Icaritin Represses Autophagy to Promote Colorectal Cancer Cell Apoptosis and Sensitized Low-Temperature Photothermal Therapy via Targeting HSP90-TXNDC9 Interactions.,2025,"Dan He, Siliang Chen, Xiaoyun Wang, Xiang Wen, Changyang Gong, Lei Liu, Gu He",", , , , , , ",Not Available
40184611,Enhanced the Trans-Cleavage Activity of CRISPR-Cas12a Using Metal-Organic Frameworks as Stimulants for Efficient Electrochemical Sensing of Circulating Tumor DNA.,2025,"Shuai Wu, Yincheng Liu, Tianyu Zeng, Tianci Zhou, Yanting Sun, Ying Deng, Juan Zhang, Genxi Li, Yongmei Yin",", , , , , , , , ",Not Available
40184610,Nucleic Acid-Locked Smart Carrier for Photothermal/Chemotherapy-Amplified Immunogenic Cell Death to Enhance Systemic Antitumor Efficacy.,2025,"Jiayang Zhang, Tianyu Gai, Jiwei Wang, Yucai Wu, Si-Ming Zeng, Dongyuan Zhao, Wei Li",", , , , , , ",Not Available
40184606,Rating the Efficacy of Diagnostic Imaging Studies Conducted for the Workup of Musculoskeletal Tumors.,2025,"William T Li, Sumail Bhogal, Matthew F Gong, Alexander P Hoffman, Trudy Zou, Margaret Gajda, Rana Naous, Karen Schoedel, Carol Andrews, Andrew Cordle, Stella Lee, Kurt R Weiss, Richard L McGough",", , , , , , , , , , , , ",Not Available
40184576,Development of a Single-Cell Spatial Metabolomics Method for the Characterization of Cell-Cell Metabolic Interactions.,2025,"Yaqi Zhang, Panpan Chen, Haoyuan Geng, Min Li, Shiping Chen, Bangzhen Ma, Yan Ma, Jianjun Lai, Xiaoqing Cui, Wei Chong, Hao Chen, Xiao Wang, Chenglong Sun",", , , , , , , , , , , , ",Not Available
40184573,"Guidelines, Counseling Practices, and Fertility Preservation Options for Childhood Cancer Patients in the Nordic-Baltic Region.",2025,"Monika Grubliauskaite, Zivile Gudleviciene, Irma C Oskam, Babak Asadi-Azarbaijani, Kirsi Jahnukainen",", , , , ",Not Available
40184571,Lines of Therapy for Locally Advanced/Metastatic Urothelial Carcinoma: The New Paradigm.,2025,"Oluseyi Abidoye, Prateek Jain, Parminder Singh",", , ",Not Available
40184569,Characteristics and Associated Survival of Patients Diagnosed With Non-Small Cell Lung Cancer in a Designated Lung Cancer Program in Western Kenya.,2025,"Naftali Busakhala, Lawrence Atundo, Hillary Kiprono, Kibet Keitany, Elias Melly, Ruth Ruto, Madrine Wanja, Daniel Chepsiror, Hussain Rangoonwala, Cornelius Kipchirchir, Erick Chesori, John Oguda, Jesse Opakas, Patrick J Loehrer, Lameck Diero, Jennifer Morgan",", , , , , , , , , , , , , , , ",Not Available
40184568,Adjuvant Anti-PD-1 Monotherapy Versus Observation for Stage III Acral Melanoma of the Sole: A Multicenter Retrospective Study in Japanese Patients.,2025,"Shigeru Koizumi, Naoya Yamazaki, Yuki Ichigozaki, Hiroshi Kitagawa, Yukiko Kiniwa, Sayuri Sato, Toshihiro Takai, Reiichi Doi, Takamichi Ito, Masahito Yasuda, Yutaka Kuwatsuka, Takeo Maekawa, Jun Asai, Takuya Miyagawa, Shigeto Matsushita, Takeru Funakoshi, Yosuke Yamamoto, Takashi Inozume, Akiko Kishi, Tatsuya Takenouchi, Hiraku Kokubu, Shusaku Ito, Yoshiyasu Umeda, Yuki Yamamoto, Shoichiro Ishizuki, Shiro Iino, Hiroshi Uchi, Tomoe Nakagawa, Kazuhiro Inafuku, Takahiro Haga, Takahide Kaneko, Masahiro Nakagawa, Hideki Kamiya, Masaru Arima, Toshihiko Hoashi, Azusa Hiura, Nobuo Kanazawa, Keiko Manabe, Masashi Ishikawa, Kenji Asagoe, Utsugi Iwasawa, Takafumi Kadono, Naohito Hatta, Shoichiro Minami, Eiji Nakano, Dai Ogata, Satoshi Fukushima, Hisashi Uhara, Kenta Nakama, Yasuhiro Nakamura",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ",Not Available
40184567,Phase I Study of Subcutaneous Rituximab Hyaluronidase Combined With CHOP Chemotherapy for the Treatment of Diffuse Large B-Cell Lymphoma in Uganda.,2025,"Manoj P Menon, Henry Ddungu, Kelvin R Mubiru, Scott V Adams, Jacqueline Asea, Rosemary Namagembe, Prossy Namuli, Joyce Kambugu, Andrea M H Towlerton, Camille Puronen, Thomas S Uldrick, Jackson Orem, Edus H Warren",", , , , , , , , , , , , ",Not Available
