PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40184568,Adjuvant Anti-PD-1 Monotherapy Versus Observation for Stage III Acral Melanoma of the Sole: A Multicenter Retrospective Study in Japanese Patients.,2025,"Shigeru Koizumi, Naoya Yamazaki, Yuki Ichigozaki, Hiroshi Kitagawa, Yukiko Kiniwa, Sayuri Sato, Toshihiro Takai, Reiichi Doi, Takamichi Ito, Masahito Yasuda, Yutaka Kuwatsuka, Takeo Maekawa, Jun Asai, Takuya Miyagawa, Shigeto Matsushita, Takeru Funakoshi, Yosuke Yamamoto, Takashi Inozume, Akiko Kishi, Tatsuya Takenouchi, Hiraku Kokubu, Shusaku Ito, Yoshiyasu Umeda, Yuki Yamamoto, Shoichiro Ishizuki, Shiro Iino, Hiroshi Uchi, Tomoe Nakagawa, Kazuhiro Inafuku, Takahiro Haga, Takahide Kaneko, Masahiro Nakagawa, Hideki Kamiya, Masaru Arima, Toshihiko Hoashi, Azusa Hiura, Nobuo Kanazawa, Keiko Manabe, Masashi Ishikawa, Kenji Asagoe, Utsugi Iwasawa, Takafumi Kadono, Naohito Hatta, Shoichiro Minami, Eiji Nakano, Dai Ogata, Satoshi Fukushima, Hisashi Uhara, Kenta Nakama, Yasuhiro Nakamura",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ",Not Available
40184525,Pemphigus Vulgaris: Clinical Aspects and Treatments.,2025,"Ryan S Q Geng, R Gary Sibbald",", ",Not Available
40184513,Massive Malignant Transformation in a Patient with Hidradenitis Suppurativa during Anti-Tumor Necrosis Factor Treatment.,2025,"Gabija Rudzikaitė, Jorinta Jokubaitė, Dominykas Markevičius, Justinas Pamedys, Tadas Raudonis",", , , , ",Not Available
40184506,Effects of a Situated Simulation Teaching Strategy on Knowledge of Negative-Pressure Wound Therapy among Surgical Nurses in Taiwan.,2025,"Yi-Ling Tseng, Hua-Shan Wu, Pei-Yu Huang, Pei-Shan Hsaio, Hui-Chen Tseng",", , , , ",Not Available
40184497,Healing Rate and Time to Closure of Venous Leg Ulcers: A Real-World Service Evaluation of Neuromuscular Electrostimulation as an Adjunct to Compression Therapy.,2025,"Holly Murray, Rochelle Duong, Duncan Shirreffs Bain",", , ",Not Available
40184496,Syndromic epidermal differentiation disorders: New classification towards pathogenesis-based therapy.,2025,"Amy S Paller, Joyce Teng, Juliette Mazereeuw-Hautier, Ángela Hernández-Martín, Céline Granier Tournier, Alain Hovnanian, Mandy Aldwin-Easton, Gianluca Tadini, Schwartz Janice, Eli Sprecher, Kiril Malovitski, Akemi Ishida-Yamamoto, Keith Choate, Masashi Akiyama, Edel A O'Toole, Judith Fischer, Christine Bodemer, Antoni Gostynski, Matthias Schmuth",", , , , , , , , , , , , , , , , , , ",Not Available
40184185,A Systematic Review of High-Intensity Focused Ultrasound (HIFU) in Skin Tightening and Body Contouring.,2025,"Diala Haykal, Sonja Sattler, Ines Verner, Monisha Madhumita, Hugues Cartier",", , , , ",Not Available
40184143,Thread fragrant moxibustion for a young women with atypical hand herpes zoster: A case report.,2025,"Yi-Mei Zhang, Yong-Cheng Wang, Xing-Jun Han, Zhi-Wei Xu, Xing-Lin Zhao, Xiao-Fen Yuan, Wen-Xiu Wang, Hong-Ling Jia",", , , , , , , ",Not Available
40184140,Primary sclerosing cholangitis with PLKR and UGT1A1 mutation manifested as recurrent bile duct stones: A case report.,2025,"Yijun Zhou, Wei Shen, Yusheng Cui, Yunjiang Li, Hong Liu, Jianfeng Bao, Qiaofei Jin",", , , , , , ",Not Available
40184104,Acute lymphoblastic leukemia first presenting with ascites: A case report.,2025,"Fengxue Yu, Zhen Tao, Cong Cheng, Hongxia Wei, Rentian Cai",", , , , ",Not Available
40184093,Periosteal distraction as a new surgical technique for the treatment of senile diabetic foot: A retrospective case analysis.,2025,"Rui Yang, Yue Zhou, Yunxiang Hu, Sanmao Liu",", , , ",Not Available
40184011,Risk of tuberculosis transmission by tissue transplantation: a quantitative risk assessment.,2025,"Amaury Gaussen, Antoine Lewin, Christian Renaud, Mélanie Dieudé, Gary Rockl, Étienne Fissette, Marc Germain",", , , , , , ",Not Available
40183903,Comparison of five preservation methods for fascia allograft.,2025,"Jiyoung Park, Mu-Young Kim, Hun-Young Yoon",", , ",Not Available
40183705,Optimizing extraction of Citrus aurantium leaves and assessing immunomodulatory effects of the extract on BALB/c mice PBMCs.,2025,"Naim Kattour, Sawssan Maksoud, Marc Karam, Roula M Abdel-Massih, Anna-Maria Abi-Khattar, Samer Bazzi, Nicolas Louka, Espérance Debs",", , , , , , , ",Not Available
40183558,Protective effect of melatonin against blue light-induced cell damage via the TRPV1-YAP pathway in cultured human epidermal keratinocytes.,2025,"Seoyoung Choi, Eunbi Yu, See-Hyoung Park, Sae Woong Oh, Kitae Kwon, Gyeonghyeon Kim, Heejun Ha, Hee Seon Shin, Seokhyeon Min, Minkyung Song, Jae Youl Cho, Jongsung Lee",", , , , , , , , , , , ",Not Available
40183549,Establishment of epidemiological cutoff values for ,2025,"Dallas J Smith, Marcia S C Melhem, Jessy Dirven, Conceição Maria Pedrozo E Silva de Azevedo, Sirlei Garcia Marques, Bruna Jacomel Favoreto de Souza Lima, Vania Aparecida Vicente, Maria da Glória Teixeira Sousa, James Venturini, Nathan P Wiederhold, Amir Seyedmousavitasieh, Philippe J Dufresne, Sybren de Hoog, Shawn R Lockhart, Ferry Hagen, Daniel Wagner de C L Santos",", , , , , , , , , , , , , , , ",Not Available
40183451,Preparation of targeting nanogels for controlled delivery of 5-aminolevulinic acid triggered by matrix metalloproteinases as photodynamic therapy.,2025,"Xiao Liu, Yuan Zhang, Peng Zhang, Kang Ge, Ruzhi Zhang, Yixin Sun, Yang Sheng, Mark Bradley, Rong Zhang",", , , , , , , , ",Not Available
40183420,Progranulin Mutation Manifesting as Parkinson Disease: A Case Series from the PADUA-CESNE Cohort.,2025,"Giulia Bonato, Marta Campagnolo, Aron Emmi, Valentina Misenti, Tommaso Carrer, Carmelo Fogliano, Leonardo Salviati, Miryam Carecchio, Angelo Antonini",", , , , , , , , ",Not Available
40183413,"Self-esteem, self-perception, and self-image of women with acne vulgaris at different age ranges.",2025,"Wioleta Faruga-Lewicka, Małgorzata Dudek, Wiktoria Staśkiewicz-Bartecka, Marek Kardas",", , , ",Not Available
40183388,Multifunctional cosmetic potential of extracellular vesicle‑like nanoparticles derived from the stem of ,2025,"Hyeon Jin Lee, Yun Hye Kim, Seo Jun Lee, Su Hyun Park, Jae-Min Yuk, Jae Cheol Jeong, Young Bae Ryu, Woo Sik Kim",", , , , , , , ",Not Available
40183274,Regenerative Potential of Umbilical Cord Blood-derived Stromal Cells along with Phytosterol Campesterol in Wound Healing of a Rat Model.,2025," Ahmad, Tahir Maqbool, Mahwish Arooj, Moutasem Salih Aboonq, Awais Altaf, Madaniah Omar Zakari, Moaz Abdullah Mojaddidi, Sajida Shahnawaz, Muzammal Mateen Azhar, Inamullah -",", , , , , , , , , ",Not Available
40183249,Collagen type V alpha 3 chain is involved in human skin basement membrane physiology and MMP-9 regulation.,2025,"Florian Labarrade, Imane Garcia, Isabelle Imbert",", , ",Not Available
40183153,Clinicopathologic Features of Penile Ulceration in Malignant Atrophic Papulosis: A Case Report and Review of the Literature.,2025,"Matthew H Lanehart, Brooke Bertus, Patrick J Bacaj, Michael S Kolodney, Colleen J Beatty",", , , , ",Not Available
